date,total_value,ADBE,ASML,BRK.B,CASH,GOOGL,ISRG_2026-05-15_420_PUT,ISRG_2026-06-18_420_PUT,MCD,NVDA_2026-02-20_160_PUT,NVDA_2026-04-17_180_PUT,NVDA_2026-06-18_190_PUT,NVDA_2027-06-17_170_CALL,NVDA_2027-12-17_100_CALL,SGOV,V,VOO
2026-06-08,747103.41,(39443.39|244.99),(164308.32|1749.04),(35064.00|487.00),(-59000.00|1.00),(313001.74|363.31),(0.00|0.00),(-1024.00|10.24),(30555.80|277.78),(0.00|0.00),(0.00|0.00),(-81.00|0.81),(6215.00|62.15),(11837.00|118.37),(37140.06|100.46),(47717.14|319.67),(121925.96|679.68)
2026-06-05,742859.10,(40481.84|251.44),(154228.34|1641.74),(35145.36|488.13),(-59000.00|1.00),(317498.91|368.53),(0.00|0.00),(-805.00|8.05),(30782.40|279.84),(0.00|0.00),(0.00|0.00),(-183.00|1.83),(6000.00|60.00),(11650.00|116.50),(37136.36|100.45),(48299.29|323.57),(121624.59|678.00)
2026-06-04,761489.40,(41605.62|258.42),(165100.25|1757.47),(34461.36|478.63),(-59000.00|1.00),(320652.11|372.19),(0.00|0.00),(-1205.00|12.05),(29999.20|272.72),(0.00|0.00),(0.00|0.00),(-43.00|0.43),(7150.00|71.50),(12986.00|129.86),(37125.27|100.42),(47793.27|320.18),(124864.32|696.06)
2026-06-03,742969.33,(41254.64|256.24),(162177.71|1726.36),(34226.64|475.37),(-59000.00|1.00),(309279.94|358.99),(0.00|0.00),(-2370.00|23.70),(30061.90|273.29),(0.00|0.00),(0.00|0.00),(-88.00|0.88),(6750.00|67.50),(12543.00|125.43),(37121.58|100.41),(46631.95|312.40),(124379.98|693.36)
2026-06-02,747451.02,(42199.71|262.11),(160205.87|1705.37),(33948.72|471.51),(-59000.00|1.00),(311743.91|361.85),(0.00|0.00),(-2313.00|23.13),(30399.60|276.36),(0.00|0.00),(0.00|0.00),(-62.00|0.62),(7380.00|73.80),(13205.00|132.05),(37117.88|100.40),(47366.36|317.32),(125258.98|698.26)
2026-06-01,755862.75,(44118.83|274.03),(152991.12|1628.57),(33860.88|470.29),(-59000.00|1.00),(324253.29|376.37),(0.00|0.00),(-1659.00|16.59),(30372.10|276.11),(0.00|0.00),(0.00|0.00),(-54.00|0.54),(7460.00|74.60),(13135.00|131.35),(37117.88|100.40),(48179.88|322.77),(125086.76|697.30)
2026-05-29,752035.81,(41732.81|259.21),(151505.90|1612.76),(34162.56|474.48),(-34566.00|1.00),(327673.56|380.34),(0.00|0.00),(-1180.00|11.80),(30712.00|279.20),(0.00|0.00),(0.00|0.00),(-153.00|1.53),(6500.00|65.00),(12275.00|122.75),(12885.76|100.67),(48715.76|326.36),(121771.47|695.49)
2026-05-28,747975.09,(38871.84|241.44),(150849.25|1605.77),(34374.24|477.42),(-34566.00|1.00),(336107.92|390.13),(0.00|0.00),(-1161.00|11.61),(30576.70|277.97),(0.00|0.00),(0.00|0.00),(-107.00|1.07),(6574.00|65.74),(12350.00|123.50),(12883.20|100.65),(48505.29|324.95),(112716.66|693.91)
2026-05-27,745039.69,(38356.64|238.24),(150107.10|1597.87),(34554.24|479.92),(-34566.00|1.00),(334987.93|388.83),(0.00|0.00),(-1620.00|16.20),(30901.20|280.92),(0.00|0.00),(0.00|0.00),(-130.00|1.30),(6467.00|64.67),(12121.00|121.21),(12883.20|100.65),(48902.34|327.61),(112075.03|689.96)
2026-05-26,749664.04,(38718.89|240.49),(153316.16|1632.03),(34820.64|483.62),(-34566.00|1.00),(335031.01|388.88),(0.00|0.00),(-848.00|8.48),(30718.60|279.26),(0.00|0.00),(0.00|0.00),(-136.00|1.36),(6610.00|66.10),(12300.00|123.00),(12881.92|100.64),(48733.67|326.48),(112083.15|690.01)
